City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Date,Wind Speed
240,manismata,-2.4667,111.0333,23.95,93.0,76.0,ID,1686412395.0,1.03
241,prince rupert,54.3161,-130.3201,11.05,93.0,100.0,CA,1686412396.0,5.25
242,ambon,-3.6954,128.1814,29.08,78.0,40.0,ID,1686412396.0,2.57
243,le vauclin,14.5452,-60.8388,32.03,62.0,75.0,MQ,1686412396.0,7.72
244,pontianak,-0.0333,109.3333,25.99,94.0,20.0,ID,1686412396.0,2.93
245,camana,-16.6228,-72.7111,19.78,70.0,46.0,PE,1686412396.0,5.33
247,caleta de carquin,-11.0925,-77.6267,22.49,73.0,81.0,PE,1686412397.0,3.7
248,sirte,31.2089,16.5887,26.67,52.0,66.0,LY,1686412397.0,4.88
249,shunyi,40.125,116.6453,21.97,49.0,0.0,CN,1686412397.0,3.6
250,zheleznodorozhnyy,55.7503,38.0042,16.12,40.0,90.0,RU,1686412402.0,5.41
251,korla,41.7597,86.1469,31.26,11.0,2.0,CN,1686412402.0,3.44
252,gaigeturi,33.4644,126.3183,20.03,94.0,75.0,KR,1686412402.0,1.19
253,ebon,4.582,168.6964,26.56,82.0,100.0,MH,1686412403.0,2.06
254,mount pearl,47.5166,-52.7813,10.25,98.0,100.0,CA,1686412403.0,6.69
255,santa cruz,-17.8,-63.1667,27.03,74.0,75.0,BO,1686412403.0,6.87
256,naspur,18.8333,79.45,34.71,33.0,55.0,IN,1686412403.0,1.76
257,kotputli,27.7167,76.2,36.76,20.0,0.0,IN,1686412403.0,5.66
258,el porvenir,13.7617,-87.3458,27.63,65.0,100.0,HN,1686412403.0,4.63
259,tucuma,-0.1833,-50.05,29.06,71.0,16.0,BR,1686412403.0,7.52
260,kharp,66.8014,65.8081,9.36,90.0,100.0,RU,1686412404.0,8.85
261,metlili chaamba,32.2667,3.6333,36.52,18.0,1.0,DZ,1686412404.0,1.54
262,labytnangi,66.6572,66.4183,10.17,84.0,100.0,RU,1686412404.0,5.84
263,ayorou,14.7308,0.9174,39.72,23.0,99.0,NE,1686412404.0,1.54
264,puerto colombia,10.9878,-74.9547,32.05,63.0,21.0,CO,1686412332.0,2.42
265,tazacorte,28.629,-17.9293,23.97,68.0,20.0,ES,1686412404.0,2.01
266,kingston,17.997,-76.7936,30.69,77.0,20.0,JM,1686412374.0,1.54
267,mata-utu,-13.2816,-176.1745,27.98,78.0,22.0,WF,1686412405.0,5.14
268,saurimo,-9.6608,20.3916,26.54,34.0,79.0,AO,1686412405.0,5.26
269,watford city,47.8022,-103.2832,18.42,59.0,0.0,US,1686412405.0,3.66
270,geraldton,-28.7667,114.6,15.23,94.0,75.0,AU,1686412405.0,7.84
271,atafu village,-8.5421,-172.5159,28.64,79.0,65.0,TK,1686412405.0,3.08
272,kegeyli shahar,42.7767,59.6078,30.05,24.0,98.0,UZ,1686412405.0,7.08
273,weno,7.4515,151.8468,24.97,100.0,100.0,FM,1686412406.0,11.32
274,pago pago,-14.2781,-170.7025,27.4,81.0,75.0,AS,1686412406.0,2.8
275,pama,11.2497,0.7075,36.59,33.0,72.0,BF,1686412406.0,1.46
276,chonchi,-42.6128,-73.8092,9.51,79.0,71.0,CL,1686412406.0,1.34
277,hereford,52.0568,-2.7148,27.78,66.0,94.0,GB,1686412407.0,7.72
279,coyhaique,-45.5752,-72.0662,3.97,70.0,20.0,CL,1686412407.0,2.12
280,jamestown,42.097,-79.2353,23.34,48.0,0.0,US,1686412407.0,2.56
281,arno,60.1167,18.6333,12.66,49.0,12.0,SE,1686412407.0,1.19
282,khorixas,-20.3667,14.9667,26.71,16.0,0.0,NA,1686412407.0,0.79
283,hadibu,12.65,54.0333,29.05,77.0,79.0,YE,1686412408.0,3.09
284,millerovo,48.9226,40.3967,22.97,57.0,100.0,RU,1686412408.0,5.08
285,safi,32.1667,-8.8333,26.34,37.0,11.0,MA,1686412408.0,1.03
286,tindouf,27.6711,-8.1474,35.25,13.0,0.0,DZ,1686412408.0,4.8
